gene,n.sh_sgRNAs.raw,n.sh_sgRNAs.passFilter.3VS1.A375_VS_plasmid,B.3VS1.A375_VS_plasmid,z.3VS1.A375_VS_plasmid,pval.3VS1.A375_VS_plasmid,FDR.3VS1.A375_VS_plasmid,B.sd.3VS1.A375_VS_plasmid
PPP1CB,4,4,-1.748215554793476,-1.6261326355813122,0.10392144277457718,0.513543355363444,0.9126977028968112
LOC441155,4,4,-1.7460245994363996,-2.5883993652173185,0.009642311696064707,0.2029789071905715,0.4670696061298587
NDUFB11,4,4,-1.7459515790214264,-2.5451406786259154,0.010923372105503608,0.2103822224454876,0.48055565857912524
GPN3,4,4,-1.7441489920200073,-1.4149478162970222,0.1570837968064803,0.6033843082814695,1.0788741900373358
MRPL36,4,4,-1.7416000671747829,-1.9980834893329167,0.045707609422097874,0.3637008904598487,0.6929922443401181
CUL3,4,4,-1.7391490750871998,-2.2930584998037262,0.021844637217643036,0.26949917933428547,0.5658574738503499
MAP3K7,4,4,-1.7375329257542524,-3.129350555358463,0.001751931631439629,0.179858525584026,0.32504006832596677
ANAPC13,4,4,-1.7374557828144699,-1.2401127938853385,0.21493367747774186,0.6810705657072548,1.2531794400634708
FUBP1,4,4,-1.7349951793702925,-2.4950275273199334,0.01259473591011887,0.22048175437561057,0.4935975881729439
ZW10,4,4,-1.733305394114001,-2.600138384059313,0.009318617390829492,0.201023402021359,0.4600965098467372
RNASEH2B,4,4,-1.7321065789382066,-3.0785696677410317,0.002079968906171791,0.179858525584026,0.3352081492250791
NOL8,4,4,-1.731965278317073,-2.4516700605478374,0.014219497705274125,0.23117839159246523,0.5070672938816694
POM121C,4,4,-1.7304795010932685,-1.4586240132990587,0.14466862058503246,0.5852623963553608,1.03223977255736
HIST1H2BK,4,4,-1.72969205346624,-1.0457352998820628,0.295683260204186,0.7537496254121554,1.5101802959974682
MEMO1,4,4,-1.729077655010591,-1.5386660873718125,0.12388583549094594,0.553572785679848,0.9666993292374648
NDUFAB1,4,4,-1.7289641541307772,-1.8938895351607008,0.058239673826031776,0.4003209041963507,0.7404508048337264
ZC3H11A,4,4,-1.7206220034668143,-2.547911936403368,0.010836982371233584,0.2103822224454876,0.4727193910054561
VPS53,4,4,-1.7185165675717171,-1.7488015917386504,0.0803253215754595,0.4580124914295219,0.8178074421802594
IPMK,4,4,-1.717982044773602,-1.8993873122487877,0.05751357045655602,0.3984341247036659,0.7328685626511593
PSTK,4,4,-1.7171476452716943,-2.6795705008231887,0.007371667807253053,0.19171702074081165,0.4325917308720381
RRP36,4,4,-1.7159835950186486,-1.2362569021014886,0.21636308556088624,0.6824006030239634,1.242103889861372
GPS2,4,4,-1.7140945098153164,-1.627892615428488,0.10354765751671699,0.5130169456682739,0.8936715026181381
