gene,sgRNA,B1,B2,B3,A1,A2,A3
PSMC2,PSMC2-5,1482,1615,1449,850,833,805
RPS27,RPS27-2,3704,3863,3546,2437,2644,2276
PSMD7,PSMD7-3,6097,5875,5828,4498,4204,3857
RPS9,RPS9-6,955,1038,997,693,439,443
RPL11,RPL11-6,3110,3177,3008,2065,2287,1845
RPS8,RPS8-3,4671,4990,5005,3710,3547,3137
NUP133,NUP133-10,4025,3839,3387,2857,2584,2491
RPL5,RPL5-1,4731,4701,4218,3614,3367,2952
POLR2D,POLR2D-5,4876,4688,4320,3466,3729,2980
RPS27,RPS27-4,7332,7197,7264,5715,5864,5055
NUP98,NUP98-11,4700,4725,4027,3310,3460,3109
COPZ1,COPZ1-15,4302,4273,3967,3348,3203,2699
NUP54,NUP54-10,2300,2322,2090,1611,1629,1385
RPS24,RPS24-13,3735,3847,3437,2697,3177,2334
