sgrna,Gene,control_count,treatment_count,control_mean,treat_mean,LFC,control_var,adj_var,score,p.low,p.high,p.twosided,FDR,high_in_treatment
SPATA16-7,SPATA16,4356.9/4159.1/4017.3,5428.2/5882.6/6233,4175.4,5838.6,0.4836,29107,29238,9.7266,1,1.1614e-22,2.3228e-22,5.8744e-22,True
FCRL4-2,FCRL4,7133.2/7191.6/6793.6,8975/9466.8/9350,7037.2,9261.6,0.3962,46203,52384,9.7185,1,1.257e-22,2.5139e-22,6.3409e-22,True
OLIG2-7,OLIG2,5488.5/6058.5/5242.4,8380.6/6453/7917.7,5586.2,7537.2,0.4321,175440,40470,9.6983,1,1.5321e-22,3.0642e-22,7.7087e-22,True
RPS7-1,RPS7,4592.4/4350.2/4242.4,2808.2/2474.9/2793.4,4392.6,2687.6,-0.70852,32144,30941,9.6926,1.6209e-22,1,3.2418e-22,8.134e-22,False
RXFP2-3,RXFP2,6818.2/6897/6933.5,8766/9864.4/8634.4,6882.7,9072,0.39838,3471.5,51100,9.6845,1,1.7554e-22,3.5108e-22,8.7862e-22,True
OR52E8-2,OR52E8,4878.6/4663.2/5129.8,6497.3/6486.3/7084.5,4886.9,6683.6,0.45165,54544,34854,9.6243,1,3.1573e-22,6.3146e-22,1.5762e-21,True
PSMC1-2,PSMC1,3494.3/3333.5/3471.8,5186.9/4862.8/4674.5,3432.5,4903.6,0.51445,7581.3,23494,9.5974,1,4.0994e-22,8.1989e-22,2.0412e-21,True
RPS27-3,RPS27,6547.3/6013.3/6261.1,4369.1/4330.3/3953.1,6270.1,4213.2,-0.57345,71440,46045,9.5856,4.5969e-22,1,9.1938e-22,2.283e-21,False
COPS2-5,COPS2,651/752.58/686.86,35.125/180.28/125.22,695.56,92.587,-2.8959,2656.6,3967.9,9.5723,5.2298e-22,1,1.046e-21,2.5907e-21,False
NPSR1-1,NPSR1,3354.5/3794.3/3756.1,5011.2/4960.8/5469.2,3629.4,5142.1,0.50251,59394,25004,9.5665,1,5.5272e-22,1.1054e-21,2.7309e-21,True
NUP98-1,NUP98,4778.1/4949.5/4948,3302.7/2857.6/3173.8,4891.2,3105.6,-0.65513,9704.9,34889,9.5594,5.9204e-22,1,1.1841e-21,2.9177e-21,False
PIWIL3-7,PIWIL3,5700.1/5727.9/5695.4,7639.3/7894.3/7424.5,5707.8,7650.3,0.42252,309.26,41456,9.5405,1,7.1078e-22,1.4216e-21,3.4939e-21,True
KRT77-7,KRT77,4959.1/4754.7/4567,6982.8/6307.8/6251.3,4757.6,6505.7,0.4514,38456,33826,9.5049,1,1.0011e-21,2.0023e-21,4.9086e-21,True
RNASE9-2,RNASE9,3121.9/3238.4/2978.3,4511.4/4709.4/4240.1,3111.1,4482.8,0.52686,16980,21053,9.4541,1,1.6297e-21,3.2593e-21,7.97e-21,True
PSMC4-9,PSMC4,3460.8/3367.7/3556.9,1755.4/2188.3/2110.4,3461,2008.9,-0.7845,8955.9,23712,9.4301,2.0492e-21,1,4.0984e-21,9.9963e-21,False
COPS8-8,COPS8,5899.2/5795.4/5721.4,7700.6/7579.9/7939.9,5804.9,7738.7,0.41477,7974.5,42244,9.4088,1,2.5093e-21,5.0187e-21,1.221e-20,True
OR12D2-5,OR12D2,6672.7/7379/6965.3,9019.1/9889.3/8575.6,6999.7,9145.3,0.38569,125990,52072,9.4026,1,2.6607e-21,5.3215e-21,1.2908e-20,True
PLA2G2E-7,PLA2G2E,4802.1/4442.6/4793.6,6422.6/6382.7/6362.1,4676.3,6389.1,0.45014,42104,33182,9.4024,1,2.6661e-21,5.3322e-21,1.2908e-20,True
ABCG8-4,ABCG8,4125.2/4325.3/4063.4,5701.1/6366.1/5309.3,4169.8,5775.9,0.46997,18737,29195,9.4,1,2.728e-21,5.4561e-21,1.3174e-20,True
RPS13-1,RPS13,2005.6/1761.9/1656.5,764.65/722.96/935.29,1802.2,802.62,-1.166,32115,11453,9.3407,4.783e-21,1,9.5661e-21,2.304e-20,False
PSMA3-10,PSMA3,3273.2/3313.2/3401.1,1768/2016.3/1995.8,3328.7,1923.3,-0.79106,4282.8,22703,9.3274,5.4247e-21,1,1.0849e-20,2.6066e-20,False
DMRTC2-4,DMRTC2,5157.2/5199.8/5072.1,7302.5/6466.8/7058.5,5142.7,6933.6,0.43099,4226.8,36899,9.323,1,5.6558e-21,1.1312e-20,2.7108e-20,True
PSMD6-8,PSMD6,4918.9/4464.7/4639.2,2430.9/3100.8/3491.7,4670.5,2974.6,-0.65074,52504,33136,9.317,5.9859e-21,1,1.1972e-20,2.8619e-20,False
TRIM42-3,TRIM42,3529.7/3365.9/3352,5339.1/4727.9/4477.1,3414.9,4834.8,0.50146,9772.7,23360,9.2896,1,7.7467e-21,1.5493e-20,3.6946e-20,True
VN1R2-6,VN1R2,5599.5/5207.1/5411.2,7077.3/6841.3/7829.1,5403.6,7237.2,0.42146,38522,38995,9.2857,1,8.0351e-21,1.607e-20,3.8227e-20,True
TGM6-3,TGM6,3991.2/4046.4/4647.8,6070.4/5649.6/5731.2,4218.3,5814.2,0.46282,132820,29574,9.2801,1,8.4656e-21,1.6931e-20,4.0175e-20,True
NPSR1-4,NPSR1,4896.8/4484.1/4975.4,7083.6/6246.8/6156,4780.5,6482.4,0.43929,69685,34008,9.2289,1,1.3673e-20,2.7347e-20,6.473e-20,True
RPS27-1,RPS27,3965.3/3962.4/3855.6,2516.4/2461/2240.5,3927.5,2403,-0.70855,3905.6,27306,9.2256,1.4097e-20,1,2.8193e-20,6.6569e-20,False
TAS2R9-8,TAS2R9,3762.4/3853.4/3998.5,4701.4/5701.4/5795.7,3870.2,5375.7,0.47394,14184,26863,9.1857,1,2.0437e-20,4.0875e-20,9.6276e-20,True
LYZL6-10,LYZL6,8611.4/8421.6/9289.9,10637/12177/10679,8766.5,11142,0.34589,208510,66969,9.1791,1,2.1745e-20,4.3491e-20,1.0219e-19,True
NPSR1-9,NPSR1,3794.9/4239.4/3663.7,5381.4/5753.1/5085.8,3891.7,5399.9,0.47242,91115,27029,9.1735,1,2.2899e-20,4.5799e-20,1.0735e-19,True
COPA-5,COPA,2938.1/3082.4/3227.9,4232.2/4346.1/4628.3,3080.5,4399.1,0.51387,21011,20823,9.1374,1,3.1991e-20,6.3983e-20,1.496e-19,True
OLIG2-4,OLIG2,4250.6/4359.4/4759,6192.9/5606.1/6436.3,4451.1,6068.3,0.44704,71682,31402,9.126,1,3.5534e-20,7.1067e-20,1.6558e-19,True
ABCG8-6,ABCG8,7520/7399.3/7867.1,9389.3/9526/10434,7592.9,9772.2,0.36399,58996,57028,9.1259,1,3.558e-20,7.1161e-20,1.6558e-19,True
POLR2A-8,POLR2A,2043/1689.9/2141.4,707.91/1325.7/852.45,1948.1,928.33,-1.0685,56528,12490,9.1243,3.6094e-20,1,7.2187e-20,1.6757e-19,False
RPL27-6,RPL27,3937.6/4416.7/4414.1,5743.5/5524.8/6221.5,4250,5822.7,0.45414,76160,29822,9.1073,1,4.223e-20,8.4461e-20,1.9558e-19,True
POU4F2-2,POU4F2,4285.1/3689/4176,5521.9/5561.8/5609.8,4041.5,5564.4,0.46123,100820,28193,9.0696,1,5.9733e-20,1.1947e-19,2.7598e-19,True
SPATA16-6,SPATA16,4491.9/4610.6/4486.2,5969.5/6191.3/6299.5,4529.2,6151.9,0.44169,4933.8,32018,9.0686,1,6.0257e-20,1.2051e-19,2.7773e-19,True
SAGE1-8,SAGE1,5952.8/6158.3/5874.4,7975.3/7278.6/8463.9,5994,7890.8,0.3966,21495,43785,9.065,1,6.2326e-20,1.2465e-19,2.8656e-19,True
CRYGB-9,CRYGB,4709.2/4643.9/4958.1,7086.3/6253.3/6021.1,4768.5,6437.8,0.43295,27497,33913,9.0647,1,6.2471e-20,1.2494e-19,2.8656e-19,True
ABCG8-3,ABCG8,4771.4/5100/5132.7,6465.8/6618.5/7050.8,4998.7,6707.2,0.42408,39936,35746,9.0365,1,8.0904e-20,1.6181e-19,3.7023e-19,True
